"id"|"user"|"name"|"homeLocation"|"worksFor"|"total"
"143893"|"shivaram"|"Shivaram Venkataraman"|""|""|192
"850797"|"jerryshao"|"Saisai Shao"|"Shanghai"|"Hortonworks"|194
"408432"|"ankurdave"|"Ankur Dave"|"Berkeley, CA"|"UC Berkeley AMPLab"|241
"2072857"|"yhuai"|"Yin Huai"|""|"Databricks"|258
"527"|"marmbrus"|"Michael Armbrust"|"Berkeley, CA"|"UC Berkeley"|280
"1962026"|"yanboliang"|"Yanbo Liang"|"Santa Clara, CA"|"Hortonworks"|289
"9700541"|"dongjoon-hyun"|"Dongjoon Hyun"|"Sunnyvale"|"@hortonworks"|299
"829644"|"mengxr"|"Xiangrui Meng"|""|"Databricks"|329
"1694083"|"vanzin"|"Marcelo Vanzin"|"San Francisco, CA"|""|332
"68855"|"viirya"|"Liang-Chi Hsieh"|"Taipei, Taiwan"|"Datavisor"|347
"6477701"|"HyukjinKwon"|"Hyukjin Kwon"|""|"@hortonworks"|352
"11567269"|"gatorsmile"|"Xiao Li"|"San Francisco, CA"|"Databricks Inc."|372
"230655"|"liancheng"|"Cheng Lian"|"San Francisco, CA, US"|"@databricks"|375
"663212"|"tdas"|"Tathagata Das"|"San Francisco"|"Databricks.com"|473
"1000778"|"zsxwing"|"Shixiong Zhu"|"San Francisco"|"Databricks, Inc."|474
"50748"|"JoshRosen"|"Josh Rosen"|"Berkeley, CA"|"@databricks"|502
"3182036"|"cloud-fan"|"Wenchen Fan"|"Hangzhou, China"|"Databricks"|576
"320616"|"pwendell"|"Patrick Wendell"|""|""|654
"228859"|"mateiz"|"Matei Zaharia"|"San Francisco, CA"|"Databricks Inc."|830
"323388"|"rxin"|"Reynold Xin"|"San Francisco"|"Databricks"|1152
