id,user,name,homeLocation,location_formatted,lat,lng,worksFor,total
7322292,zhengruifeng,Ruifeng Zheng,"Beijing, China","Beijing, China",39.90419989999999,116.4073963,,103
5243515,brkyvz,Burak Yavuz,,,,,,111
1108612,kayousterhout,Kay Ousterhout,,,,,,117
2367031,chenghao-intel,Cheng Hao,"Shanghai, China","Shanghai, China",31.2303904,121.4737021,Intel,118
9616802,hvanhovell,Herman van Hovell,Netherlands,Netherlands,52.132633,5.291265999999999,Databricks,125
692303,maropu,Takeshi Yamamuro,"Tokyo, Japan","Tokyo, Japan",35.6894875,139.6917064,,127
2133137,andrewor14,andrewor14,,,,,,131
506656,ueshin,Takuya UESHIN,"Kawasaki, Japan","Kawasaki, Kanagawa Prefecture, Japan",35.52981980000001,139.7024039,,135
4736016,sarutak,Kousuke Saruta,Japan,Japan,36.204824,138.252924,NTT DATA,143
59893,holdenk,Holden Karau,"San Francisco, CA","San Francisco, CA, USA",37.7749295,-122.4194155,Google,151
2350086,jegonzal,Joey,"Berkeley, California","Berkeley, CA, USA",37.8715926,-122.272747,UC Berkeley,158
8969467,felixcheung,Felix Cheung,,,,,,161
1400247,aarondav,Aaron Davidson,,,,,,161
5084283,jkbradley,Joseph Bradley,,,,,,169
992952,ScrapCodes,Prashant Sharma,Hyderabad,"Hyderabad, Telangana, India",17.385044,78.486671,IBM,177
143893,shivaram,Shivaram Venkataraman,,,,,,192
850797,jerryshao,Saisai Shao,"Shanghai, China","Shanghai, China",31.2303904,121.4737021,Hortonworks,194
408432,ankurdave,Ankur Dave,"Berkeley, California","Berkeley, CA, USA",37.8715926,-122.272747,UC Berkeley,241
2072857,yhuai,Yin Huai,,,,,Databricks,258
527,marmbrus,Michael Armbrust,"Berkeley, California","Berkeley, CA, USA",37.8715926,-122.272747,UC Berkeley,280
1962026,yanboliang,Yanbo Liang,"Santa Clara, CA","Santa Clara, CA, USA",37.3541079,-121.9552356,Hortonworks,289
9700541,dongjoon-hyun,Dongjoon Hyun,"Sunnyvale, CA, U.S.","Sunnyvale, CA, USA",37.36883,-122.0363496,Hortonworks,299
829644,mengxr,Xiangrui Meng,,,,,Databricks,329
1694083,vanzin,Marcelo Vanzin,"San Francisco, CA","San Francisco, CA, USA",37.7749295,-122.4194155,,332
68855,viirya,Liang-Chi Hsieh,"Taipei, Taiwan","Taipei, Taiwan",25.0329694,121.5654177,Datavisor,347
6477701,HyukjinKwon,Hyukjin Kwon,,,,,Hortonworks,352
11567269,gatorsmile,Xiao Li,"San Francisco, CA","San Francisco, CA, USA",37.7749295,-122.4194155,Databricks,372
230655,liancheng,Cheng Lian,"San Francisco, CA","San Francisco, CA, USA",37.7749295,-122.4194155,Databricks,375
663212,tdas,Tathagata Das,"San Francisco, CA","San Francisco, CA, USA",37.7749295,-122.4194155,Databricks,473
1000778,zsxwing,Shixiong Zhu,"San Francisco, CA","San Francisco, CA, USA",37.7749295,-122.4194155,Databricks,474
50748,JoshRosen,Josh Rosen,"Berkeley, California","Berkeley, CA, USA",37.8715926,-122.272747,Databricks,502
3182036,cloud-fan,Wenchen Fan,"Hangzhou, China","Hangzhou, Zhejiang, China",30.274084,120.15507,Databricks,576
320616,pwendell,Patrick Wendell,,,,,,654
228859,mateiz,Matei Zaharia,"San Francisco, CA","San Francisco, CA, USA",37.7749295,-122.4194155,Databricks,830
323388,rxin,Reynold Xin,"San Francisco, CA","San Francisco, CA, USA",37.7749295,-122.4194155,Databricks,1152
